pair_rank,item_1,item_2,residual_correlation,standardized_residual_z,absolute_residual_correlation,flagged_ge_0_10,residual_convention
1,DPQ090,DPQ050,-0.11083822694959883,-4.419042791851898,0.11083822694959883,TRUE,observed minus model-implied correlation
2,DPQ090,DPQ030,-0.09257319161346589,-3.562537938360719,0.09257319161346589,FALSE,observed minus model-implied correlation
3,DPQ060,DPQ030,-0.09080340584157098,-7.517286000432126,0.09080340584157098,FALSE,observed minus model-implied correlation
4,DPQ060,DPQ040,-0.089138463596522,-8.753020836328103,0.089138463596522,FALSE,observed minus model-implied correlation
5,DPQ090,DPQ060,0.08706182842832322,6.46034252523188,0.08706182842832322,FALSE,observed minus model-implied correlation
6,DPQ040,DPQ030,0.08403925282762492,10.517359392187847,0.08403925282762492,FALSE,observed minus model-implied correlation
7,DPQ090,DPQ040,-0.07570979428421354,-3.301643242888532,0.07570979428421354,FALSE,observed minus model-implied correlation
8,DPQ080,DPQ070,0.07335030585819324,4.415090302757587,0.07335030585819324,FALSE,observed minus model-implied correlation
9,DPQ030,DPQ020,-0.07251733785162362,-8.262500857698033,0.07251733785162362,FALSE,observed minus model-implied correlation
10,DPQ090,DPQ070,-0.07210686846001385,-2.7813104335515626,0.07210686846001385,FALSE,observed minus model-implied correlation
11,DPQ040,DPQ020,-0.06832133211602232,-8.69163304128084,0.06832133211602232,FALSE,observed minus model-implied correlation
12,DPQ090,DPQ020,0.05832046706916094,4.356495952804996,0.05832046706916094,FALSE,observed minus model-implied correlation
13,DPQ060,DPQ020,0.0551953361255616,9.01059465589256,0.0551953361255616,FALSE,observed minus model-implied correlation
14,DPQ050,DPQ020,-0.052654289454399095,-5.700864793232661,0.052654289454399095,FALSE,observed minus model-implied correlation
15,DPQ050,DPQ040,0.0501718245324132,5.012740279078458,0.0501718245324132,FALSE,observed minus model-implied correlation
16,DPQ050,DPQ030,0.04549971399157593,4.045128806244031,0.04549971399157593,FALSE,observed minus model-implied correlation
17,DPQ020,DPQ010,0.04099383676357471,6.312083843758661,0.04099383676357471,FALSE,observed minus model-implied correlation
18,DPQ060,DPQ050,-0.04079721248460899,-3.4017047447882116,0.04079721248460899,FALSE,observed minus model-implied correlation
19,DPQ090,DPQ010,-0.03623036266285673,-1.7994085916299214,0.03623036266285673,FALSE,observed minus model-implied correlation
20,DPQ080,DPQ010,-0.034945718167350925,-2.3100994760508744,0.034945718167350925,FALSE,observed minus model-implied correlation
21,DPQ030,DPQ010,-0.03423801407735172,-3.472825292684242,0.03423801407735172,FALSE,observed minus model-implied correlation
22,DPQ080,DPQ020,-0.028274701588553386,-2.25303006379184,0.028274701588553386,FALSE,observed minus model-implied correlation
23,DPQ080,DPQ040,-0.026807402990673856,-1.692357746418257,0.026807402990673856,FALSE,observed minus model-implied correlation
24,DPQ060,DPQ010,-0.022989556140251333,-2.5114874645311587,0.022989556140251333,FALSE,observed minus model-implied correlation
25,DPQ090,DPQ080,0.02290412899242067,0.8192057587414449,0.02290412899242067,FALSE,observed minus model-implied correlation
26,DPQ070,DPQ050,0.020226215932161562,1.4953129850543303,0.020226215932161562,FALSE,observed minus model-implied correlation
27,DPQ070,DPQ020,-0.02007119827129622,-2.229223885566161,0.02007119827129622,FALSE,observed minus model-implied correlation
28,DPQ080,DPQ050,0.012590795136906974,0.7402535910611546,0.012590795136906974,FALSE,observed minus model-implied correlation
29,DPQ070,DPQ010,-0.011183320608338487,-0.9531786536859131,0.011183320608338487,FALSE,observed minus model-implied correlation
30,DPQ050,DPQ010,-0.010240058722144951,-0.9512892913932387,0.010240058722144951,FALSE,observed minus model-implied correlation
31,DPQ040,DPQ010,0.0095054148583026965,1.1721031225176965,0.0095054148583026965,FALSE,observed minus model-implied correlation
32,DPQ070,DPQ040,-0.006787107422242644,-0.6094649438050813,0.006787107422242644,FALSE,observed minus model-implied correlation
33,DPQ070,DPQ030,0.00559997793500111,0.444916384936688,0.00559997793500111,FALSE,observed minus model-implied correlation
34,DPQ080,DPQ060,0.0038621856754116335,0.2637545407915946,0.0038621856754116335,FALSE,observed minus model-implied correlation
35,DPQ070,DPQ060,-0.0021668961376667406,-0.17573489440395376,0.0021668961376667406,FALSE,observed minus model-implied correlation
36,DPQ080,DPQ030,8.109361032645479e-4,0.04958141719534233,8.109361032645479e-4,FALSE,observed minus model-implied correlation
