item,threshold,estimate,standard_error,ci_lower,ci_upper,p_value,confidence_interval_type,confidence_level
DPQ010,t1,0.6507238783311101,0.02106177956845174,0.6094435489266231,0.6920042077355971,0,95% Wald-type,0.95
DPQ010,t2,1.3369254295070736,0.02734398508632997,1.2833322035440666,1.3905186554700806,0,95% Wald-type,0.95
DPQ010,t3,1.8020843146329295,0.036708054549628756,1.7301378497731255,1.8740307794927336,0,95% Wald-type,0.95
DPQ020,t1,0.6589806907424589,0.02110411157628909,0.6176173921272174,0.7003439893577004,0,95% Wald-type,0.95
DPQ020,t2,1.4166086092433308,0.028555269714708176,1.3606413090336753,1.4725759094529862,0,95% Wald-type,0.95
DPQ020,t3,1.8672575126160338,0.03857006941646277,1.791661565678557,1.9428534595535105,0,95% Wald-type,0.95
DPQ030,t1,0.27102705071628336,0.01974806348108049,0.23232155752895492,0.3097325439036118,0,95% Wald-type,0.95
DPQ030,t2,0.9642024873305729,0.02316310428612729,0.9188036371596181,1.0096013375015278,0,95% Wald-type,0.95
DPQ030,t3,1.3237174323561858,0.02715569203750295,1.270493253987419,1.3769416107249526,0,95% Wald-type,0.95
DPQ040,t1,0.020597242018337236,0.019487254385887783,-0.017597074735573016,0.05879155877224749,0.2905299926302243,95% Wald-type,0.95
DPQ040,t2,0.9574747312723277,0.023106282763609952,0.9121872492390536,1.0027622133056018,0,95% Wald-type,0.95
DPQ040,t3,1.4232486433502218,0.028662301452840554,1.3670715647886242,1.4794257219118194,0,95% Wald-type,0.95
DPQ050,t1,0.6710715282693859,0.02116726200638726,0.6295844570855438,0.712558599453228,0,95% Wald-type,0.95
DPQ050,t2,1.306458126228656,0.026914741495488885,1.2537062022442922,1.35921005021302,0,95% Wald-type,0.95
DPQ050,t3,1.7062303473342553,0.03425976246755956,1.6390824467789415,1.773378247889569,0,95% Wald-type,0.95
DPQ060,t1,0.9546046389084298,0.023082215452980226,0.9093643279371947,0.999844949879665,0,95% Wald-type,0.95
DPQ060,t2,1.5929793933063665,0.03175609595344073,1.5307385889480245,1.6552201976647085,0,95% Wald-type,0.95
DPQ060,t3,1.945491891055532,0.04104346054261789,1.8650481865911104,2.025935595519954,0,95% Wald-type,0.95
DPQ070,t1,0.9450939316117666,0.02300319745364802,0.900008493073353,0.9901793701501802,0,95% Wald-type,0.95
DPQ070,t2,1.5412829121774616,0.030736559700112846,1.4810403621565753,1.601525462198348,0,95% Wald-type,0.95
DPQ070,t3,1.8502171232077815,0.038066649820821336,1.7756078605468737,1.9248263858686894,0,95% Wald-type,0.95
DPQ080,t1,1.2979725675422629,0.026798360430545138,1.2454487462536712,1.3504963888308545,0,95% Wald-type,0.95
DPQ080,t2,1.8051653210565008,0.036792301861174534,1.7330537345002728,1.877276907612729,0,95% Wald-type,0.95
DPQ080,t3,2.1968261303710372,0.05116384003223238,2.0965468465970933,2.297105414144981,0,95% Wald-type,0.95
DPQ090,t1,1.7382583753696113,0.03504180976046191,1.6695776902860018,1.8069390604532207,0,95% Wald-type,0.95
DPQ090,t2,2.286364167634787,0.05577404880087498,2.1770490407130927,2.395679294556481,0,95% Wald-type,0.95
DPQ090,t3,2.732622579695788,0.09122794643034172,2.5538190903087687,2.911426069082807,0,95% Wald-type,0.95
